Character,Command,Hit level,Damage,Start up frame,Block frame,Hit frame,Counter hit frame,Notes,Notation
Akuma,rage11b32,m (Throw),55,16 pc8~,Throw(KND),Throw(KND),Throw(KND),Rage Art,"In Rage 1,1,f+3,2"
Akuma,rage11f32,m (Throw),55,16 pc8~,Throw(KND),Throw(KND),Throw(KND),Rage Art,"In Rage 1,1,f+3,2"
Akuma,1,h,7,10,1,8,8,,1
Akuma,f1,h,7,10,1,8,8,,f+1
Akuma,11,"h, h","7,7",10,-3,4,4,,"1,1"
Akuma,12,"h, m","7,20",10,-17~-16,KND,KND,,"1,2"
Akuma,2,Sm,15,15,-9~-8,0~1,0~1,,2
Akuma,f2,Sm,15,15,-9~-8,0~1,0~1,,f+2
Akuma,3,h,14,15,-8,3,3,,3
Akuma,b3,h,14,15,-8,3,3,,b+3
Akuma,4,h,12,14,-13~-12,2~3,2~3,,4
Akuma,43,"h, h","12,17",14,-5~-4,19k,KND,"Homing, Tail Spin","4,3"
Akuma,1+2,h,14,31 pc8~,-20,-8,-8,Power Crush,1+2
Akuma,ws1+2,h,14,31 pc8~,-20,-8,-8,Power Crush,WS 1+2
Akuma,1+2ff,h,14,315 pc8~,-5,7,7,,"1+2,f,f"
Akuma,1+2bb,h,14,315 pc8~,-15,-3,-3,,"1+2,b,b"
Akuma,1+2*,h,20,40 pc8~,-11,CS,CS,Power Crush,1+2*
Akuma,1+2*ff,h,20,405 pc8~,4,CS(21),CS(21),Power Crush,"1+2*,f,f"
Akuma,1+2*bb,h,20,405 pc8~,-6,CS(11),CS(11),Power Crush,"1+2*,b,b"
Akuma,1+2**,h!,25,65 pc8~54,CS,CS,CS,Power Crush,1+2**
Akuma,1+2**ff,h,25,65 pc8~,CS(21),CS(21),CS(21),Power Crush,"1+2**,f,f"
Akuma,1+2**bb,h,25,65 pc8~,CS(11),CS(11),CS(11),Power Crush,"1+2**,b,b"
Akuma,f3,m,16,17,-9,1,1,,f+3
Akuma,f4,h,20,16,-9~-8,KND,KND,"Homing, Tail Spin",f+4
Akuma,f1+2,"m, m","5,15","20,32",-8s,5s,5s,,f+1+2
Akuma,f1+2secondhitmiss,m,5,20,-11,-2,-2,,f+1+2 second hit miss
Akuma,f3+4,m (TJ) (TPORT),20,22a js9~,-9~-8,2~3,2~3,Homing,f+3+4
Akuma,df1,m,10,13,-4~-3,7~8,7~8,,d/f+1
Akuma,df11,"m, h","10,7",13,-3,6,6,,"d/f+1,1"
Akuma,df12,"m, m, m","10,5,15",13,-13s,5s,5s,,"d/f+1,2"
Akuma,df12thirdhitmiss,"m, m","10,5",13,-11,-2,-2,,"d/f+1,2 third hit miss"
Akuma,df2,m,10,16,-7~-6,3~4,3~4,,d/f+2
Akuma,df21,"m, m","10,10",16,-18~-17,Launch,Launch,,"d/f+2,1"
Akuma,df24,"m, m","10,13",16,-11,0,0,,"d/f+2,4"
Akuma,df243,"m, m, m","10,13,23",16,-17~-16,KND,KND,,"d/f+2,4,3"
Akuma,df3,m,14,12,-9,1,1,,d/f+3
Akuma,df4,m,24,19,-16,KND,KND,,d/f+4
Akuma,db1,Sm (TC),5,10s cs4or1~,-5,6,6,,d/b+1
Akuma,d1,Sm (TC),5,10s cs4or1~,-5,6,6,,d+1
Akuma,fc1,Sm (TC),5,10s cs4or1~,-5,6,6,,FC 1
Akuma,db12,"Sm (TC), Sm (TC)","5,8",s js1~,-13,-2,-2,,"d/b+1,2"
Akuma,d12,"Sm (TC), Sm (TC)","5,8",s js1~,-13,-2,-2,,"d+1,2"
Akuma,fc12,"Sm (TC), Sm (TC)","5,8",s js1~,-13,-2,-2,,"FC 1,2"
Akuma,db2,Sm (TC),6,12s cs4or1~,-4,7,7,,d/b+2
Akuma,d2,Sm (TC),6,12s cs4or1~,-4,7,7,,d+2
Akuma,fc2,Sm (TC),6,12s cs4or1~,-4,7,7,,FC 2
Akuma,db3close,l (TC),10,15s cs6or1~,-11,-2,-2,,d/b+3 close
Akuma,d3close,l (TC),10,15s cs6or1~,-11,-2,-2,,d+3 close
Akuma,fc3close,l (TC),10,15s cs6or1~,-11,-2,-2,,FC 3 close
